Наименование;Характеристика;Е.И.;К-во;
10.01;;;;
Кабель соединительный для компьютерной техники;UTP4 кат.5е, (L=305m.);шт;1;
10.09;;;;
Запасные части к печатным и копирующим устройствам;блок проявки 6204, Xerox;шт;1;
Запасные части к печатным и копирующим устройствам;комплект заряжающих роликов 6204, Xerox;шт;1;
Запасные части к печатным и копирующим устройствам;комплект роликов 6204, Xerox;шт;1;
Мышь компьютерная;беспроводная Oklick 305M;шт;1;
Прибор;накопитель фискальный ФН-М;шт;1;
Прочие расходные материалы;адаптер соединительный RJ-45;шт;1;
Прочие расходные материалы;разветвитель USB 3.0;шт;1;
Прочие расходные материалы;разъемы RJ-45  8P8C;шт;1;
Прочие расходные материалы;розетка RJ-45 8P8C;шт;18;
Расходные материалы к принтерам;006R01238 тонер Xerox Wide Format 6604 черный;шт;2;
Расходные материалы к принтерам;006R01464 тонер Xerox WC 7120 голубой;шт;1;
Расходные материалы к принтерам;CF226X картридж HP LJ Pro M402/426 черный;шт;4;
Расходные материалы к принтерам;CF280X картридж HP LJProM401/M425 черный;шт;2;
Расходные материалы к принтерам;RICOH MP2014 тонер Ricoh MP 2014AD черный;шт;1;
Расходные материалы к принтерам;TK-1140 картридж KYOCERA FS-1035MFP/DP/1135MFP черный;шт;1;
Система контроля;видеонаблюдение, IP камера Falcon Eye FE-IPC-DP2e-30p,;шт;1;
10.10;;;;
Устройство страховочное;блокирующее НВ-03;шт;2;
Устройство страховочное;привязь Высота 042 размер 1;шт;2;
Устройство страховочное;строп аК12р;шт;2;
